Participant,Sensor,Task,Area,Jerk X,Jerk Y,Jerk Z,RMS Acceleration,RMS Angular Velocity,Ellipse Area,Box Area,Total Pathway Length,volume,Mean Acceleration X,Mean Acceleration Y,Mean Acceleration Z
participant1,head,task1.csv,8472779.08891172,1.058988714792705e-07,-1.0858774267856338e-07,-2.6780953425855666e-08,1.6007828311069603,0.8159100220926905,0.8932664483873695,14.049074471936,11792.30851351912,23.02689253493467,0.7087417397107898,0.8618764493882091,-9.939180617352614
participant1,lowerback,task1.csv,9998798.459258,9.283834802307232e-08,6.81688076462949e-08,1.3767816202307548e-08,2.7390388551388387,1.0272316878880463,1.3475272947122758,20.6487212148,15804.359420104078,27.325454179682897,1.4348423162291168,0.3580604105011933,-9.394521039379471
participant1,torso,task1.csv,13462587.815537527,2.0597247624358555e-07,-5.23621397756477e-07,1.1341699026410068e-07,3.4161547472229032,0.8678182639066112,3.975821763006062,63.99775395,27637.370664904684,77.20127958639833,3.354704874863983,0.8958724624591947,-8.878067080522307
participant10,head,task1.csv,8926916.611671042,1.097563061163249e-07,-8.620292466716908e-08,5.16783793947724e-08,2.817419560636923,0.3539182521090803,3.0190508807390923,29.422947209208,1959.4147802674104,57.01060341631364,1.389422859688196,3.925827064587973,-9.318582191536748
participant10,lowerback,task1.csv,5808984.094804199,5.701713864873498e-06,7.323004198351044e-07,4.580807549064361e-07,3.913255749382644,1.061517012053684,6.291342435689986,64.49696395999999,537.8421648517677,109.0562418652578,3.977768623853211,-1.11397876146789,-8.506010339449542
participant10,torso,task1.csv,7944309.380799469,2.802916941567817e-06,-2.286905588764292e-06,2.3724457867152458e-07,5.141881070318087,1.072247214886457,4.087006378137063,41.30158116519,439.4429983840313,75.97514356005192,0.0507287480314961,0.7447891259842518,-9.272806905511809
participant11,head,task1.csv,8926916.611671042,1.097563061163249e-07,-8.620292466716908e-08,5.16783793947724e-08,2.817419560636923,0.3539182521090803,3.0190508807390923,29.422947209208,1959.4147802674104,57.01060341631364,1.389422859688196,3.925827064587973,-9.318582191536748
participant11,lowerback,task1.csv,5672680.332364982,-1.0866518957852821e-07,2.691748995907078e-07,4.3791883983084774e-08,3.073887714114001,1.072958181338027,3.863927846199627,25.6056,1110.9507623322029,38.37016858536064,1.9192211836158195,0.3078465254237287,-9.351115587570622
participant11,torso,task1.csv,9575194.09433467,6.180458587170982e-07,1.613475015100872e-07,-6.019344964728789e-08,3.648165067296616,0.9315401991182324,2.930244940457645,25.333929346232992,3878.424635474492,46.40807574875413,0.3525585944798303,0.6524826963906583,-9.548117002123144
participant12,head,task1.csv,2534585.178676876,1.7908850330161413e-07,-1.007453324671374e-06,-2.869962668478263e-07,1.900289571637595,0.8314886510541858,0.7757162288775771,5.642737288963001,319.0999456846656,11.057750589475935,1.3044850361990952,2.3516181266968323,-9.055809837104071
participant12,lowerback,task1.csv,3395896.661525185,-1.9223309195263846e-06,-3.400304662615157e-07,-4.087738467239155e-07,1.7320556297816636,0.8505120195298063,0.920346580537929,15.18412647,640.2651877573194,19.83295209719923,0.67539202259887,0.8450289604519775,-9.395184237288136
participant12,torso,task1.csv,6794421.866759766,2.498913010924167e-06,-5.926295602194706e-07,1.227807072924483e-06,5.181878217939031,0.9593295769609008,2.99754580767283,15.12671553638,818.4738446836882,14.099372023154809,1.2406925358851677,0.8218031483253588,-9.501618488038275
participant14,head,task1.csv,4453993.409987822,2.834381797393967e-07,-4.174186684997804e-08,-4.108781372842383e-08,2.313661926641108,1.1287030589287077,2.1457033911353918,14.610679265868,633.4223755432972,25.854262729702945,0.7684205104895107,1.5233166853146856,-9.84357895104895
participant14,lowerback,task1.csv,1777554.8035793074,1.642106701151007e-07,2.648458746000212e-07,1.824902295738798e-08,0.7012676799547022,0.7946008313298226,0.3152103156588094,1.8004439370039993,359.8252607813526,1.04846372439076,3.991625502824859,0.3627353615819208,-9.11478381920904
participant14,torso,task1.csv,3296556.8081930648,2.964062544404808e-07,1.1707203987167404e-06,-2.564208738518289e-07,1.273135463231299,0.8357067632517025,1.1241612831998749,25.680145589999995,1090.227694595875,26.8988559386106,1.7414428259023356,0.7770155138004248,-9.370269033970276
participant15,head,task1.csv,8926916.611671042,1.097563061163249e-07,-8.620292466716908e-08,5.16783793947724e-08,2.817419560636923,0.3539182521090803,3.0190508807390923,29.422947209208,1959.4147802674104,57.01060341631364,1.389422859688196,3.925827064587973,-9.318582191536748
participant15,lowerback,task1.csv,9462012.915776549,8.641626769191744e-07,2.938346952137529e-07,2.7300513221187538e-08,2.6103775616388445,0.7999102596516713,1.092477512569758,8.870711024,2826.033957553195,22.99491233829213,1.807962216666667,0.6092982270833335,-9.35935108125
participant15,torso,task1.csv,10594683.58160106,9.481817550555352e-07,-3.1694421028018786e-07,1.204032212289527e-07,3.3793980460454462,0.920336662556712,1.7859792888802293,17.610722312648,3637.117651355351,31.22570747976648,0.8887792098540146,0.550429594890511,-9.55396903649635
