,,head,lowerback,torso
RMS Angular Velocity,min,0.3539182521090803,0.454029186923372,0.5988679270999895
RMS Angular Velocity,Q1,0.8710871214182176,0.7717204859282071,0.7641102898911005
RMS Angular Velocity,Q3,1.1287030589287077,0.9476993130411013,1.01196781596527
RMS Angular Velocity,max,416296.1683064123,3.2901127793394336,3.465102522436039
Ellipse Area,mean,3.835506734121072,2.1053771038568025,2.999164082127062
Ellipse Area,std,4.9675913434694605,3.0921920254958315,5.9790724276564315
Ellipse Area,min,0.0491243548304756,0.0030542919100466,0.0117213971848339
Ellipse Area,Q1,0.7504510826800251,0.0926719788381872,0.1825415334508474
Ellipse Area,Q3,5.166127640436946,2.707687376907625,2.880672126871695
Ellipse Area,max,25.00759153734892,15.870088172057423,40.2299786799265
Box Area,mean,38.849560230121334,27.082809227658267,28.494448063751538
Box Area,std,36.69151791334548,40.53739015730924,29.455890703722527
Box Area,min,0.9480152319999998,0.030264,0.4480295110000001
Box Area,Q1,11.046621381908,2.670409113923,9.77293217511
Box Area,Q3,53.6001921925,31.480161363264,36.58525592
Box Area,max,182.40146982,311.653197716,156.15504143
Total Pathway Length,mean,11752446.703635514,11867097.726299403,7468606.951587954
Total Pathway Length,std,25837088.52920335,33715704.414321184,18782847.773269586
Total Pathway Length,min,161.80260793584432,93.69051252939956,439.4429983840313
Total Pathway Length,Q1,16438.875552678895,13803.88097431896,13627.949356904335
Total Pathway Length,Q3,8040464.815377725,4590927.376154962,3900871.78038729
Total Pathway Length,max,184644020.6970924,231670277.5249344,103036076.38004938
volume,mean,70.91631024709234,72.66681118620646,38.86484006555362
volume,std,109.31763749385061,194.98978260162502,59.573203652528576
volume,min,0.1431365971236219,0.0020479675,0.0660395877856667
volume,Q1,11.057750589475935,0.7637690933043415,3.4120888873678408
volume,Q3,69.4912677083344,58.903870303344924,47.27895154437245
volume,max,582.9238991689181,1980.9137590525816,404.4983784871338
Mean Acceleration X,mean,0.5256548532678322,1.9427049400000018,1.9826029947044799
Mean Acceleration X,std,0.856023655228717,2.2380968461425135,2.3375908718403697
Mean Acceleration X,min,-3.218414444178628,-4.040899166164724,-5.8229951254180605
Mean Acceleration X,Q1,0.3598355322176835,0.6333050863640807,0.8474276788990827
Mean Acceleration X,Q3,0.9333255337423312,3.3784121203114057,3.4935987516013323
Mean Acceleration X,max,3.209370590106237,7.124113392405064,5.63842652781065
Mean Acceleration Y,mean,0.44158084525868974,0.24827186955169364,0.8364234673765558
Mean Acceleration Y,std,2.5361362394230227,1.1973384633696247,0.4649414770149029
Mean Acceleration Y,min,-5.545786647125141,-3.296038854834638,-1.825261543925233
Mean Acceleration Y,Q1,-1.2346617812230836,-0.3627726507655929,0.6113633356890459
Mean Acceleration Y,Q3,2.344872289265905,1.0290419550210221,1.0975122209059234
Mean Acceleration Y,max,5.881010412573674,2.728558992916935,2.249550417690418
Mean Acceleration Z,mean,-9.406984102876212,-9.19362863912517,-9.135583875403213
Mean Acceleration Z,std,0.612467958793871,0.6625843596624663,0.5600054480702585
Mean Acceleration Z,min,-10.241323318637273,-9.918539072164949,-9.785954641071966
Mean Acceleration Z,Q1,-9.821989657521287,-9.6537897451872,-9.501618488038275
Mean Acceleration Z,Q3,-9.249253206878585,-8.986147333968804,-8.912850294736842
Mean Acceleration Z,max,-7.1425551953748,-6.684688259493671,-6.042278655893536
